instance_index,algorithm,run_number,distance,time_ms
0,SA,0,1806.455925,13959.721
0,SA,1,1973.126753,13556.284
0,SA,2,1840.940698,14177.409
0,SA,3,1850.879561,13546.905
0,SA,4,1911.287677,14413.151
0,SA,5,1803.908342,13623.983
0,SA,6,1860.824000,13947.329
0,SA,7,1788.020720,13208.477
0,SA,8,1789.096093,12814.230
0,SA,9,1972.260312,13002.539
1,SA,0,1762.797167,12729.120
1,SA,1,1832.727784,12324.502
1,SA,2,1709.361779,12617.767
1,SA,3,1739.823586,12395.741
1,SA,4,1873.106459,12449.931
1,SA,5,1723.609326,12543.485
1,SA,6,1802.545467,12265.021
1,SA,7,1720.700734,12411.085
1,SA,8,1736.203214,12501.281
1,SA,9,1780.884206,12558.020
2,SA,0,1844.305231,12071.354
2,SA,1,1856.815811,12385.087
2,SA,2,2029.767940,12269.729
2,SA,3,1901.559575,12251.872
2,SA,4,1847.515649,12466.705
2,SA,5,1919.003953,12367.941
2,SA,6,1821.765719,12181.392
2,SA,7,1792.681766,12379.326
2,SA,8,1855.705993,12553.196
2,SA,9,1941.992605,12215.171
3,SA,0,1721.905574,11980.689
3,SA,1,1720.853771,12094.565
3,SA,2,1793.621384,12054.241
3,SA,3,1794.184220,12083.471
3,SA,4,1648.604616,11848.937
3,SA,5,1802.725710,12082.663
3,SA,6,1775.422169,12031.540
3,SA,7,1785.369615,12209.618
3,SA,8,1760.162221,12203.247
3,SA,9,1757.278090,12043.434
4,SA,0,1428.993980,11899.301
4,SA,1,1381.856507,11746.094
4,SA,2,1403.056535,11742.609
4,SA,3,1433.833831,11843.822
4,SA,4,1404.022652,11671.427
4,SA,5,1518.940109,11703.679
4,SA,6,1410.775584,11701.060
4,SA,7,1409.135970,11965.531
4,SA,8,1434.876818,11498.619
4,SA,9,1529.781180,11686.779
5,SA,0,1447.379989,11665.572
5,SA,1,1404.133615,11451.640
5,SA,2,1387.837546,11599.914
5,SA,3,1467.197073,11592.079
5,SA,4,1406.486265,11670.437
5,SA,5,1375.452134,11662.555
5,SA,6,1433.068220,11681.472
5,SA,7,1375.670988,11777.527
5,SA,8,1371.121026,11774.973
5,SA,9,1339.319028,11533.183
6,SA,0,1585.549591,9689.746
6,SA,1,1489.048358,9564.718
6,SA,2,1544.539600,9471.116
6,SA,3,1528.964884,9533.836
6,SA,4,1568.494463,9265.413
6,SA,5,1496.528127,9816.138
6,SA,6,1603.291286,9864.245
6,SA,7,1581.319291,9755.884
6,SA,8,1545.761059,9893.085
6,SA,9,1745.412850,9575.280
7,SA,0,1303.551523,9456.780
7,SA,1,1501.223231,9431.862
7,SA,2,1503.291032,9425.586
7,SA,3,1396.953286,9462.728
7,SA,4,1481.666476,9402.417
