instance,algorithm,best_distance,mean_distance,std_distance,mean_elapsed_ms,feasible_rate,mean_routes,normalized_gap_pct
data101.vrp,Simulated Annealing (Optimal),1788.020720,1859.680008,66.856700,13625.003,1.000,20.800,0.536
data101.vrp,Ant Colony Optimization (Optimal),1924.226652,1979.756293,37.012538,32810.750,0.000,27.900,7.027
data101.vrp,Hill Climbing,1780.073208,1849.765688,64.190706,1663.151,1.000,23.100,0.000
data102.vrp,Simulated Annealing (Optimal),1709.361779,1768.175972,51.063044,12479.595,1.000,18.700,4.856
data102.vrp,Ant Colony Optimization (Optimal),1774.745094,1801.187420,23.667461,29612.716,0.000,24.000,6.813
data102.vrp,Hill Climbing,1625.007087,1686.297347,38.523606,1802.012,1.000,21.200,0.000
data1101.vrp,Simulated Annealing (Optimal),1792.681766,1881.111424,65.360577,12314.177,1.000,17.600,0.000
data1101.vrp,Ant Colony Optimization (Optimal),2087.840847,2122.966492,33.358165,29924.713,0.000,22.800,12.857
data1101.vrp,Hill Climbing,1859.460941,1976.107138,72.237849,1647.753,1.000,20.200,5.050
data1102.vrp,Simulated Annealing (Optimal),1648.604616,1756.012737,44.996557,12063.240,1.000,15.900,0.000
data1102.vrp,Ant Colony Optimization (Optimal),1870.154041,1956.596035,40.962459,28323.187,0.000,20.200,11.423
data1102.vrp,Hill Climbing,1703.739026,1827.133006,76.766108,1563.335,1.000,18.700,4.050
data111.vrp,Simulated Annealing (Optimal),1381.856507,1435.527317,47.036223,11745.892,1.000,14.000,15.017
data111.vrp,Ant Colony Optimization (Optimal),1315.531033,1378.778951,30.562797,26320.984,0.000,15.400,10.470
data111.vrp,Hill Climbing,1201.250382,1248.097161,25.771883,1551.733,1.000,14.700,0.000
data112.vrp,Simulated Annealing (Optimal),1339.319028,1400.766588,37.102154,11640.935,1.000,13.100,24.630
data112.vrp,Ant Colony Optimization (Optimal),1082.231723,1123.938237,24.113937,24811.335,0.000,11.600,0.000
data112.vrp,Hill Climbing,1095.399498,1159.775870,39.904976,1408.796,1.000,13.500,3.189
data1201.vrp,Simulated Annealing (Optimal),1489.048358,1568.890951,68.635839,9642.946,1.000,7.600,0.000
data1201.vrp,Ant Colony Optimization (Optimal),1714.484491,1812.575973,54.442698,27634.011,0.000,12.300,15.532
data1201.vrp,Hill Climbing,1551.363033,1607.010598,42.067282,1252.102,1.000,13.700,2.430
data1202.vrp,Simulated Annealing (Optimal),1303.551523,1440.900660,62.889039,9434.358,1.000,6.300,0.000
data1202.vrp,Ant Colony Optimization (Optimal),1574.063298,1626.823694,32.136203,26372.780,0.000,10.300,12.903
data1202.vrp,Hill Climbing,1303.189578,1474.121672,94.696896,1306.571,1.000,12.700,2.306
data201.vrp,Simulated Annealing (Optimal),1471.200493,1525.316660,35.772656,9451.601,1.000,7.300,7.202
data201.vrp,Ant Colony Optimization (Optimal),1509.164461,1553.704473,23.234961,28322.146,0.000,12.000,9.197
data201.vrp,Hill Climbing,1318.664097,1422.845527,52.426017,1256.798,1.000,14.800,0.000
data202.vrp,Simulated Annealing (Optimal),1355.804891,1408.744149,33.310941,9408.794,1.000,6.800,11.371
data202.vrp,Ant Colony Optimization (Optimal),1318.233526,1365.826352,35.595061,27085.415,0.000,10.000,7.978
data202.vrp,Hill Climbing,1228.084592,1264.910202,34.257372,1560.928,1.000,13.600,0.000
