instance,algorithm,best_distance,mean_distance,std_distance,mean_elapsed_ms,feasible_rate,mean_routes,normalized_gap_pct
data101.vrp,Simulated Annealing,1752.272684,1795.119161,41.461663,5304.140,1.000,21.400,0.000
data101.vrp,Ant Colony Optimization,2047.094370,2060.224026,8.412030,9590.555,0.000,29.300,14.768
data101.vrp,Hill Climbing,1762.985969,1860.389957,71.659303,1733.573,1.000,23.200,3.636
data102.vrp,Simulated Annealing,1562.638027,1612.127084,42.537786,4735.533,1.000,19.300,0.000
data102.vrp,Ant Colony Optimization,1796.494503,1829.896301,16.187772,8643.611,0.000,24.700,13.508
data102.vrp,Hill Climbing,1588.372940,1685.249684,55.179613,1905.443,1.000,21.000,4.536
data1101.vrp,Simulated Annealing,1769.251946,1838.870115,47.575316,4709.515,1.000,17.900,0.000
data1101.vrp,Ant Colony Optimization,2132.872590,2185.747722,35.806046,8568.917,0.000,23.300,18.864
data1101.vrp,Hill Climbing,1893.405477,1942.311464,27.086881,1934.092,1.000,20.000,5.625
data1102.vrp,Simulated Annealing,1562.884251,1663.769330,65.190123,4571.209,1.000,16.300,0.000
data1102.vrp,Ant Colony Optimization,1905.776250,2002.369971,42.400602,8265.210,0.000,20.300,20.351
data1102.vrp,Hill Climbing,1698.974486,1823.303912,53.640429,1675.788,1.000,19.100,9.589
data111.vrp,Simulated Annealing,1145.247274,1213.209245,43.530870,4559.065,1.000,13.700,0.000
data111.vrp,Ant Colony Optimization,1361.888437,1398.789943,21.859260,7512.247,0.000,15.800,15.297
data111.vrp,Hill Climbing,1196.532761,1252.504746,37.408520,1659.034,1.000,14.500,3.239
data112.vrp,Simulated Annealing,1017.904779,1078.415387,37.110373,4183.383,1.000,12.000,0.000
data112.vrp,Ant Colony Optimization,1094.190498,1124.478932,19.841212,6991.363,0.000,11.900,4.271
data112.vrp,Hill Climbing,1113.360803,1184.981117,46.014886,1633.801,1.000,13.600,9.882
data1201.vrp,Simulated Annealing,1361.910107,1445.214679,52.461761,3788.081,1.000,8.800,0.000
data1201.vrp,Ant Colony Optimization,1762.801496,1861.060413,42.741152,7892.722,0.000,12.000,28.774
data1201.vrp,Hill Climbing,1500.150561,1634.833451,59.995278,1493.211,1.000,14.100,13.120
data1202.vrp,Simulated Annealing,1254.016499,1300.179705,26.602222,3677.731,1.000,8.000,0.000
data1202.vrp,Ant Colony Optimization,1629.642013,1682.679393,30.497743,7686.167,0.000,10.400,29.419
data1202.vrp,Hill Climbing,1329.943032,1444.656283,78.870970,1687.349,1.000,12.800,11.112
data201.vrp,Simulated Annealing,1234.735322,1304.125404,48.265837,3641.876,1.000,8.400,0.000
data201.vrp,Ant Colony Optimization,1561.833820,1607.207259,28.037082,7951.012,0.000,12.000,23.240
data201.vrp,Hill Climbing,1266.256196,1393.741882,64.939444,1456.058,1.000,15.100,6.872
data202.vrp,Simulated Annealing,1151.262503,1205.903126,29.372983,3810.767,1.000,7.300,0.000
data202.vrp,Ant Colony Optimization,1401.486918,1448.605883,25.769371,8282.277,0.000,10.500,20.126
data202.vrp,Hill Climbing,1202.351201,1262.542515,37.682208,1591.675,1.000,13.100,4.697
